cityId,cultureScore,goldTotal,productionTotal,goldScore,scienceTotal,cityScore,cultureTotal,productionScore,foodScore,cityTotal,foodTotal,scienceScore
400,0,306.5,77.69999999999999,0,175.05999999999997,0,94.80000000000004,0,0,12,400.0,0
401,0,254.5,149.65,0,170.05999999999997,0,145.8,0,0,11,359.0,0
402,0,184.75,183.44999999999987,0,132.07,0,103.72000000000006,0,0,7,395.0,0
403,0,343.35000000000014,250.25000000000006,0,157.49999999999997,0,155.26000000000005,0,0,16,257.0,0
404,0,340.35000000000014,174.84999999999988,0,230.68000000000004,0,158.73999999999998,0,0,28,417.0,1
405,0,254.5,125.65,0,170.05999999999997,0,143.8,0,0,12,412.0,0
406,0,269.0499999999997,140.65000000000006,0,197.69,0,112.55999999999997,0,1,22,630.0,0
407,0,255.5,109.9,0,166.65999999999997,0,135.72000000000006,0,0,10,427.0,0
408,0,346.64999999999986,126.09999999999998,0,224.49000000000004,0,140.85,0,0,21,398.0,1
409,0,250.0,129.45000000000002,0,185.06,0,127.82000000000004,0,1,14,506.0,0
410,1,330.6499999999998,439.7500000000003,0,188.0999999999999,0,209.74,0,0,29,375.0,0
411,1,406.25,480.0,1,184.62000000000015,0,173.76000000000013,0,0,29,334.0,0
412,0,467.8500000000003,481.8000000000001,1,184.31999999999994,0,99.4999999999999,0,0,24,406.0,0
413,0,522.8000000000003,510.90000000000003,1,260.75,1,131.06999999999994,1,0,32,391.0,1
414,1,675.0999999999999,535.9,1,187.04999999999993,1,173.35000000000005,1,0,32,374.0,0
415,1,348.1499999999999,508.15000000000003,0,211.54000000000013,1,280.4800000000001,1,0,36,465.0,1
416,1,586.5,620.0999999999993,1,282.8799999999999,1,180.63,1,1,43,521.0,1
417,0,357.59999999999957,412.6499999999999,0,203.84999999999988,0,119.7199999999999,0,1,30,602.0,1
418,0,449.30000000000007,464.94999999999993,1,210.17,0,148.52,0,0,26,258.0,1
419,0,500.04999999999995,463.44999999999993,1,266.34000000000003,1,170.89000000000016,0,0,35,393.0,1
420,1,359.60000000000025,497.4,0,172.92,0,175.10999999999996,1,0,25,284.0,0
421,1,396.5,565.9499999999998,1,241.34999999999994,1,179.46000000000018,1,1,40,542.0,1
422,0,257.25,156.0,0,161.07000000000002,0,142.94000000000005,0,0,9,312.0,0
423,0,250.0,158.94999999999993,0,185.06,0,155.82000000000002,0,1,21,499.0,0
424,0,254.45999999999998,150.05,0,174.85999999999999,0,148.54000000000002,0,0,14,410.0,0
425,0,342.79999999999995,102.44999999999999,0,168.79999999999998,0,121.08000000000004,0,0,11,339.0,0
426,0,260.5,213.10000000000014,0,153.0200000000001,0,151.88000000000005,0,0,12,224.0,0
427,0,254.5,139.65,0,167.55999999999997,0,144.30000000000004,0,0,10,334.0,0
428,0,309.7500000000002,212.8500000000001,0,150.22000000000014,0,146.72000000000003,0,0,13,208.0,0
429,0,253.0,180.75,0,178.7,0,155.05999999999995,0,0,17,420.0,0
430,0,257.0,127.00000000000003,0,178.07999999999998,0,147.82000000000002,0,0,16,471.0,0
431,0,250.5,153.70000000000007,0,182.22,0,153.98000000000002,0,1,18,516.0,0
432,0,277.0,174.04999999999995,0,161.56,0,157.40000000000012,0,0,15,319.0,0
433,0,248.75,90.39999999999995,0,186.96,0,106.01999999999995,0,1,12,520.0,0
434,0,287.80000000000007,102.35000000000011,0,208.17000000000004,0,132.95000000000005,0,0,17,353.0,1
435,0,293.5,152.04999999999998,0,167.55999999999997,0,150.3,0,0,15,375.0,0
436,0,265.25999999999976,88.79999999999993,0,202.73000000000002,0,111.81999999999996,0,1,20,654.0,1
437,0,252.66999999999996,75.44999999999995,0,183.14,0,99.81999999999995,0,1,13,530.0,0
438,0,252.75,118.9,0,175.01999999999998,0,146.16000000000003,0,0,13,448.0,0
439,0,257.25,226.40000000000006,0,164.21000000000004,0,157.48000000000002,0,0,16,356.0,0
440,0,337.00000000000006,390.3,0,198.36999999999992,0,130.10000000000002,0,1,30,617.0,0
441,0,302.75,560.8499999999997,0,189.8799999999999,0,102.88999999999989,1,0,25,473.0,0
442,1,569.7000000000003,655.4000000000002,1,317.59999999999985,1,256.90999999999997,1,0,41,439.0,1
443,1,297.25,345.70000000000005,0,209.47999999999996,1,270.84999999999997,0,1,36,693.0,1
444,0,434.5,503.5999999999998,1,279.65999999999997,0,136.23,1,0,30,409.0,1
445,1,488.8000000000005,519.0999999999997,1,207.24999999999986,1,222.26,1,1,43,638.0,1
446,1,434.35000000000025,395.6000000000004,1,291.2199999999999,1,180.70999999999995,0,0,36,431.0,1
447,1,353.7999999999997,504.99999999999983,0,191.7299999999999,1,192.92999999999986,1,0,34,454.0,0
448,0,452.4500000000001,536.6000000000001,1,201.1199999999999,1,114.24999999999994,1,1,33,670.0,0
449,0,837.8999999999999,506.2500000000002,1,184.46999999999994,1,168.6999999999999,1,0,32,406.0,0
450,0,324.75,649.2499999999995,0,186.04,0,100.46999999999997,1,0,26,450.0,0
451,1,249.0,260.15,0,188.53,0,171.54000000000002,0,1,25,574.0,0
452,0,255.25,132.45000000000002,0,171.04999999999998,0,98.78000000000006,0,0,5,285.0,0
